iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6775.31,0.04412,1839.12,0,1,2117.12,2439.16,1.15211
1,5212.09,0.204288,1531.86,1,1,1373.19,2457.23,1.78943
2,7845.77,0.052159,1862.59,1,1,2189.05,1476.66,0.674566
3,5497.06,0.226388,1571.93,1,1,728.926,2368.42,3.24919
4,5893.16,0.370478,1734.75,1,1,2395.75,2785.06,1.1625
5,7111.44,1.99802,1866.52,1,1,3316.3,2235.89,0.674213
6,3805.5,0.46615,929.451,1,1,1599.72,857.022,0.535731
7,5511,0.123504,1843.69,1,1,7.36934,3720.12,504.81
8,5962.21,0.249006,1850.94,1,1,2377.14,3307.43,1.39135
9,6650.94,3.7189,1981.62,1,1,661.104,3286.27,4.97088
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6751.9,0.416579,1853.63,0,1,2117.24,2525.15,1.19266
1,5247.06,0.841994,1530.72,1,1,1379.52,2417.5,1.75242
2,7892.64,1.02182,1879.86,1,1,2194.6,1529.98,0.697159
3,5518.05,0.080552,1567.38,1,1,739.037,2324.75,3.14565
4,5893.38,3.08291,1740.46,1,1,2410.63,2830.93,1.17435
5,7165.92,0.015815,1876.48,1,1,3321.73,2236.58,0.673317
6,3814.75,0.064322,950.801,1,1,1591.73,946.41,0.594579
7,5538.59,0.932989,1851.53,1,1,10.3106,3733.65,362.118
8,5978.32,1.85283,1851.79,1,1,2372.44,3293.33,1.38816
9,6653.31,2.27229,1975.99,1,1,650.634,3244.06,4.98601
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8307.27,0.388123,1834.13,0,1,2108.53,2461.97,1.16763
1,5215.24,0.589206,1529.96,1,1,1364.7,2440.92,1.78861
2,7821.86,0.147801,1866.17,1,1,2191.02,1517.58,0.692637
3,5478.79,0.15341,1568.95,1,1,736.62,2367.87,3.21451
4,5920.17,0.035358,1734.99,1,1,2429.31,2782.65,1.14545
5,7114.84,1.02083,1867.4,1,1,3301.28,2231.37,0.675909
6,3778.23,0.139443,933.313,1,1,1596.66,894.27,0.560087
7,5519.59,0.057242,1865.32,1,1,7.56794,3815.13,504.117
8,5936.42,0.121687,1849.36,1,1,2384.01,3329.19,1.39646
9,6629.26,0.146544,1961.88,1,1,643.667,3182.85,4.94487
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8319.53,1.574,1835.15,0,1,2131.38,2468.55,1.15819
1,5220.78,0.301373,1533.68,1,1,1358.21,2457.05,1.80904
2,7813.05,0.128268,1853.56,1,1,2183.45,1456.67,0.667143
3,5500.03,3.03716,1565.02,1,1,708.205,2344.96,3.31113
4,5924.08,0.928407,1760.22,1,1,2412.62,2894.98,1.19993
5,7118.84,0.052139,1859.83,1,1,3313.6,2196.63,0.662913
6,3769.25,0.034364,920.95,1,1,1593.58,849.154,0.53286
7,5516.61,0.159409,1862.47,1,1,1.58294,3802.17,2401.96
8,5888.96,0.056585,1847.53,1,1,2362.67,3350.31,1.41802
9,6638.66,0.059083,1970.43,1,1,660.094,3222.54,4.88195
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8328.81,0.18963,1841.41,0,1,2120.94,2472.69,1.16585
1,5206.45,0.072703,1531.66,1,1,1364.16,2459.37,1.80285
2,7837.68,0.052184,1863.61,1,1,2182.9,1483.33,0.679521
3,5499.46,0.31364,1582.41,1,1,733.299,2415.82,3.29446
4,5934.77,0.220554,1741.99,1,1,2415.81,2790.67,1.15517
5,7098.95,0.138889,1860.41,1,1,3315.06,2222.16,0.670323
6,3765.89,0.153263,924.952,1,1,1594.23,861.72,0.540523
7,5494.73,0.860583,1839.41,1,1,12.0364,3719.78,309.044
8,5926.22,0.489271,1840.16,1,1,2385.78,3301.79,1.38395
9,6643.14,0.048316,1966.88,1,1,645.925,3193.28,4.94373
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8323.41,0.798572,1838.53,0,1,2119.68,2471.22,1.16585
1,5193.15,0.503352,1527.68,1,1,1364.37,2451.09,1.79649
2,8519.17,0.056684,2132.38,1,1,2181.15,2150.64,0.986008
3,5513.55,2.39646,1580.39,1,1,749.202,2414.98,3.2234
4,5856.28,0.551028,1730.98,1,1,2401.83,2803,1.16702
5,7111.71,0.508036,1876.25,1,1,3296.26,2275.25,0.690252
6,3785.08,0.05641,930.787,1,1,1604.84,884.172,0.550939
7,5491.09,0.072795,1845.14,1,1,2.04313,3738.12,1829.6
8,5874.22,1.19839,1842.99,1,1,2360.7,3349.15,1.41871
9,6608.75,0.664138,1967.35,1,1,646.057,3233.77,5.0054
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8304.36,0.862404,1831.63,0,1,2122.73,2453.74,1.15594
1,5204.18,0.06187,1527.9,1,1,1360.27,2440.08,1.79382
2,7826.56,1.11361,1859.97,1,1,2187.84,1484.12,0.678347
3,5484.25,0.137015,1567,1,1,737.679,2355.84,3.19359
4,5866.29,0.082054,1730.37,1,1,2406.99,2789.31,1.15884
5,7163.87,0.439532,1885.52,1,1,3304.37,2268.17,0.686415
