time first event (ms),event,parameter
45135,97,85
45135.1,9,1
45136.4,96,86
45136.4,97,86
45136.5,9,1
45136.6,6,0
45136.6,98,2
45136.7,8,2
45136.8,99,2
45136.8,7,0
45137,98,2
45137,8,2
45137.1,99,2
46146,96,87
46146,97,87
46146.1,9,2
46146.2,6,0
46147.6,96,88
46147.6,97,88
46149.2,9,2
46153.3,98,3
46153.3,8,3
46154.1,99,3
46154.1,7,0
46154.2,98,3
46154.2,8,3
46154.4,99,3
47156.1,96,89
47156.1,97,89
47156.2,9,3
47159,96,90
47159,97,90
47159.1,9,3
47159.1,6,0
47159.2,98,4
47159.2,8,4
47159.2,99,4
47159.2,7,0
47159.3,98,4
47159.3,8,4
47159.3,99,4
48187.3,96,91
48187.3,97,91
48187.4,9,4
48187.4,6,0
48190.3,96,92
48190.4,97,92
48190.4,9,4
48190.7,4,9
48191.5,5,9
48191.6,7,0
48191.6,3,9
48191.6,2,10
48191.6,6,0
48191.6,98,0
48191.7,8,0
48192.7,99,0
48192.7,7,0
48192.9,98,0
48192.9,8,0
48201.3,99,0
49203,96,93
49203,97,93
49203.1,9,0
49203.2,96,94
49203.2,97,94
49203.2,9,0
49203.3,6,0
49203.3,98,1
49203.3,8,1
49203.3,99,1
49203.3,7,0
49203.4,98,1
49203.4,8,1
49203.4,99,1
50211,96,95
50211,97,95
50211,9,1
50214.6,96,96
50214.6,97,96
50214.7,9,1
50214.7,6,0
50214.8,98,2
50214.8,8,2
50214.8,99,2
50214.8,7,0
50214.9,98,2
50214.9,8,2
50214.9,99,2
51223.9,96,97
51223.9,97,97
51224,9,2
51227.5,96,98
51227.5,97,98
51227.6,9,2
51227.6,6,0
51227.7,98,3
51227.7,8,3
51227.8,99,3
51227.8,7,0
51227.8,98,3
51227.8,8,3
51227.9,99,3
52234.2,96,99
52234.2,97,99
52234.3,9,3
52234.5,96,100
52234.5,97,100
52234.5,9,3
52234.6,6,0
52234.6,98,4
52234.6,8,4
52234.7,99,4
52234.7,7,0
52234.7,98,4
52234.7,8,4
52234.8,99,4
53243.4,96,101
53243.4,97,101
53243.5,9,4
53243.6,6,0
53243.8,96,102
53243.8,97,102
53243.9,9,4
53246,4,10
53246.2,5,10
53246.2,7,0
53246.2,3,10
