rank,start_time,end_time,region,parameter_open,parameter_close
0,21733.291375,22743.960967,State propagation,4,4
0,22744.173036,22744.28243,Filter Update,4,4
0,22743.992065,22744.291334,Runner idle,0,0
0,17691.173405,22744.292547,Iteration,4,4
0,22744.402261,22750.411723,ZMQ send state data,0,0
0,22744.303816,22750.420304,Runner idle,0,0
0,22750.439508,22750.4629,ZMQ send state data,0,0
0,23752.924339,23752.942288,ZMQ recv state data,43,43
0,22750.444398,23753.448256,State propagation,0,0
0,23755.209054,23755.222214,ZMQ recv state data,44,44
0,22744.415712,23756.095712,State propagation,0,0
0,23758.941805,23759.226561,ZMQ send state data,1,1
0,23756.260263,23759.232961,Runner idle,0,0
0,23759.342447,23759.487772,ZMQ send state data,1,1
0,24771.820749,24771.831915,ZMQ recv state data,45,45
0,23759.354569,24771.893057,State propagation,1,1
0,24779.958903,24779.969717,ZMQ recv state data,46,46
0,23758.955593,24780.14091,State propagation,1,1
0,24780.263634,24780.366378,ZMQ send state data,2,2
0,24780.186744,24780.369944,Runner idle,0,0
0,24780.441061,24780.545302,ZMQ send state data,2,2
0,25831.151074,25831.165045,ZMQ recv state data,47,47
0,24780.469438,25831.253216,State propagation,2,2
0,25845.687801,25845.695905,ZMQ recv state data,48,48
0,24780.27242,25845.74225,State propagation,2,2
0,25845.795069,25845.837215,ZMQ send state data,3,3
0,25831.309388,25845.840662,Runner idle,0,0
0,25845.85784,25845.888543,ZMQ send state data,3,3
0,26861.56672,26861.578395,ZMQ recv state data,49,49
0,25845.861,26861.664836,State propagation,3,3
0,26862.261227,26862.274072,ZMQ recv state data,50,50
0,25845.802499,26862.367462,State propagation,3,3
0,26862.479554,26862.678075,ZMQ send state data,4,4
0,26861.714156,26862.685798,Runner idle,0,0
0,26862.727892,26862.851319,ZMQ send state data,4,4
0,27871.081745,27871.093445,ZMQ recv state data,51,51
0,26862.734845,27871.15264,State propagation,4,4
0,27872.636,27872.648426,ZMQ recv state data,52,52
0,26862.491591,27872.751268,State propagation,4,4
0,27872.931677,27873.015525,Filter Update,5,5
0,27872.780471,27873.021138,Runner idle,0,0
0,22744.302957,27873.021976,Iteration,5,5
0,27873.084786,27873.181338,ZMQ send state data,0,0
0,27873.030501,27873.186107,Runner idle,0,0
0,27873.230309,27873.281466,ZMQ send state data,0,0
0,28876.408981,28876.423447,ZMQ recv state data,53,53
0,27873.234975,28876.498787,State propagation,0,0
0,28876.621361,28876.626934,ZMQ recv state data,54,54
0,27873.09541,28876.668616,State propagation,0,0
0,28876.743852,28876.795697,ZMQ send state data,1,1
0,28876.696122,28876.800702,Runner idle,0,0
0,28876.841255,28876.886993,ZMQ send state data,1,1
0,29892.444713,29892.454521,ZMQ recv state data,55,55
0,28876.846143,29892.506407,State propagation,1,1
0,29892.874897,29892.881259,ZMQ recv state data,56,56
0,28876.753804,29892.920399,State propagation,1,1
0,29892.977137,29893.123035,ZMQ send state data,2,2
0,29892.528372,29893.126827,Runner idle,0,0
0,29893.147799,29894.362679,ZMQ send state data,2,2
0,30920.873855,30920.88777,ZMQ recv state data,57,57
0,29893.152289,30920.966905,State propagation,2,2
0,30922.203739,30922.226936,ZMQ recv state data,58,58
0,29892.985129,30922.309532,State propagation,2,2
0,30922.478977,30922.543635,ZMQ send state data,3,3
0,30920.997999,30922.549522,Runner idle,0,0
0,30922.57905,30922.615874,ZMQ send state data,3,3
0,31927.473878,31927.485975,ZMQ recv state data,59,59
0,30922.58499,31927.565769,State propagation,3,3
0,31929.895749,31929.910951,ZMQ recv state data,60,60
0,30922.49214,31929.997618,State propagation,3,3
0,31930.144307,31942.503726,ZMQ send state data,4,4
0,31930.066008,31942.516224,Runner idle,0,0
0,31942.542624,31942.64162,ZMQ send state data,4,4
0,32961.388647,32961.40024,ZMQ recv state data,61,61
0,31942.548845,32961.474148,State propagation,4,4
0,32962.264013,32962.274659,ZMQ recv state data,62,62
0,31930.282796,32962.429614,State propagation,4,4
0,32963.420421,32963.646631,Filter Update,6,6
0,32963.16392,32963.655189,Runner idle,0,0
0,27873.029822,32963.656173,Iteration,6,6
0,32963.734023,32963.793252,ZMQ send state data,0,0
0,32963.665344,32963.797923,Runner idle,0,0
0,32963.82233,32963.884486,ZMQ send state data,0,0
0,33982.695989,33982.705514,ZMQ recv state data,63,63
0,32963.827653,33982.768919,State propagation,0,0
0,33984.225414,33984.239251,ZMQ recv state data,64,64
0,32963.746514,33984.323201,State propagation,0,0
0,33984.417199,33985.069735,ZMQ send state data,1,1
0,33984.357179,33985.080425,Runner idle,0,0
0,33985.119028,33985.298444,ZMQ send state data,1,1
0,34988.67739,34988.683814,ZMQ recv state data,65,65
0,33985.128773,34988.727932,State propagation,1,1
0,34989.373852,34989.381692,ZMQ recv state data,66,66
0,33984.429141,34989.918377,State propagation,1,1
0,34991.103849,35000.945593,ZMQ send state data,2,2
0,34990.305373,35000.953455,Runner idle,0,0
0,35001.159056,35006.696523,ZMQ send state data,2,2
0,36009.842917,36009.852178,ZMQ recv state data,67,67
0,35001.170588,36009.9211,State propagation,2,2
0,36010.142815,36010.148504,ZMQ recv state data,68,68
0,34991.118237,36010.197515,State propagation,2,2
0,36010.244353,36010.279322,ZMQ send state data,3,3
0,36009.945486,36010.281819,Runner idle,0,0
0,36010.294339,36010.334977,ZMQ send state data,3,3
0,37030.771504,37030.782463,ZMQ recv state data,69,69
0,36010.296701,37030.847659,State propagation,3,3
0,37031.33669,37031.346349,ZMQ recv state data,70,70
0,36010.250973,37031.402868,State propagation,3,3
0,37031.517905,37031.680528,ZMQ send state data,4,4
0,37031.435272,37031.686869,Runner idle,0,0
0,37031.724856,37031.867506,ZMQ send state data,4,4
0,38040.133144,38040.149254,ZMQ recv state data,71,71
0,37031.732453,38040.241214,State propagation,4,4
0,38044.237103,38044.250697,ZMQ recv state data,72,72
0,37031.529512,38044.961589,State propagation,4,4
0,38045.609805,38052.686773,Filter Update,7,7
0,38040.280905,38052.696684,Runner idle,0,0
0,32963.664769,38052.697249,Iteration,7,7
0,38052.752063,38052.78648,ZMQ send state data,0,0
0,38052.703339,38052.789642,Runner idle,0,0
0,38054.381862,38054.533107,ZMQ send state data,0,0
0,39076.04169,39076.05332,ZMQ recv state data,73,73
0,38054.396753,39076.115673,State propagation,0,0
