iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
27,0,9,2,1,1604.77,0.635488,1605.41
28,0,10,0,1,53.9385,4.12328,58.0618
29,0,10,1,1,1930.07,2.10159,1932.18
30,0,10,2,1,1622.91,3.17971,1626.09
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.12,0,1586.12
1,0,1,0,1,670.323,0.936789,671.26
2,0,1,1,1,1932.56,2.41647,1934.98
3,0,1,2,1,1796.81,3.03097,1799.84
4,0,2,0,1,1301.99,6.09284,1308.09
5,0,2,1,1,848.907,2.52554,851.433
6,0,2,2,1,870.917,1.29048,872.208
7,0,3,0,1,60.2728,576.597,636.869
8,0,3,1,1,2176.13,1.82921,2177.96
9,0,3,2,1,118.651,3.08692,121.738
10,0,4,0,1,1528.33,1.61784,1529.95
11,0,4,1,1,1854.7,2.28861,1856.99
12,0,4,2,1,1081.36,0.54992,1081.91
13,0,5,0,1,855.495,449.51,1305.01
14,0,5,1,1,1342.2,4.41275,1346.61
15,0,5,2,1,2207.22,1.00138,2208.22
16,0,6,0,1,425.41,3.01607,428.426
17,0,6,1,1,747.462,0.827304,748.289
18,0,6,2,1,1868.8,1.3237,1870.12
19,0,7,0,1,858.193,3.06256,861.256
20,0,7,1,1,1567.45,1.99816,1569.44
21,0,7,2,1,1061.01,3.26981,1064.28
22,0,8,0,1,1732.46,3.09762,1735.56
23,0,8,1,1,258.305,2.07354,260.379
24,0,8,2,1,946.807,2.27609,949.084
25,0,9,0,1,270.581,1592.58,1863.16
26,0,9,1,1,1860.03,0.970351,1861.01
27,0,9,2,1,1606.14,1.3578,1607.5
28,0,10,0,1,44.8592,6.34152,51.2008
29,0,10,1,1,1932.97,2.03885,1935.01
30,0,10,2,1,1626.3,0.719024,1627.01
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.23,0,1586.23
1,0,1,0,1,678.646,4.92275,683.568
2,0,1,1,1,1934.17,3.01814,1937.19
3,0,1,2,1,1796.76,1.26269,1798.02
4,0,2,0,1,1299.02,2.15264,1301.17
5,0,2,1,1,854.218,1.47123,855.689
6,0,2,2,1,865.755,1.31633,867.072
7,0,3,0,1,64.5496,575.093,639.643
8,0,3,1,1,2167.64,2.29731,2169.94
9,0,3,2,1,124.943,6.35887,131.302
10,0,4,0,1,1527.3,4.85856,1532.16
11,0,4,1,1,1859.9,2.1733,1862.08
12,0,4,2,1,1083.41,0.757843,1084.17
13,0,5,0,1,852.896,450.869,1303.77
14,0,5,1,1,1342.22,2.26931,1344.49
15,0,5,2,1,2206.29,1.88147,2208.17
16,0,6,0,1,422.179,4.39192,426.571
17,0,6,1,1,745.424,3.24981,748.674
18,0,6,2,1,1867.36,4.03525,1871.4
19,0,7,0,1,859.286,3.98138,863.267
20,0,7,1,1,1567.71,3.09448,1570.81
21,0,7,2,1,1065,1.03767,1066.04
22,0,8,0,1,1763.03,3.16703,1766.2
23,0,8,1,1,246.691,5.50949,252.2
24,0,8,2,1,946.978,1.20561,948.184
25,0,9,0,1,271.625,1592.5,1864.12
26,0,9,1,1,1862.17,3.05341,1865.22
27,0,9,2,1,1604.26,3.64831,1607.91
28,0,10,0,1,50.7695,5.05312,55.8226
29,0,10,1,1,1926.22,4.25325,1930.47
30,0,10,2,1,1621.57,4.73874,1626.31
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.16,0,1586.16
1,0,1,0,1,675.274,2.26832,677.542
2,0,1,1,1,1933.04,1.5441,1934.59
3,0,1,2,1,1803.77,1.06123,1804.83
4,0,1,3,1,1305.8,4.23416,1310.03
5,0,1,4,1,861.408,1.59551,863.004
6,0,2,0,1,725.069,144.369,869.438
7,0,2,1,1,623.218,4.43807,627.656
8,0,2,2,1,2166.94,1.4164,2168.36
9,0,2,3,1,128.52,1.5053,130.026
10,0,2,4,1,1530.2,1.18578,1531.39
11,0,3,0,1,1854.95,2.6372,1857.59
12,0,3,1,1,1091.31,2.27756,1093.59
13,0,3,2,1,1298.48,0.858813,1299.34
14,0,3,3,1,1343.12,1.45949,1344.58
15,0,3,4,1,2204,4.37997,2208.38
16,0,4,0,1,428.019,4.89271,432.912
17,0,4,1,1,744.036,2.69367,746.729
18,0,4,2,1,1870.79,1.30328,1872.09
19,0,4,3,1,866.396,3.85097,870.247
20,0,4,4,1,1570.01,0.50203,1570.52
21,0,5,0,1,1067.88,2.66963,1070.55
22,0,5,1,1,1729.75,2.74499,1732.49
23,0,5,2,1,259.301,6.48345,265.785
24,0,5,3,1,945.754,3.54692,949.301
25,0,5,4,1,1860.15,0.851866,1861
26,0,6,0,1,1859.17,1.01523,1860.19
27,0,6,1,1,1607.11,1.89332,1609
28,0,6,2,1,49.0566,1.40793,50.4645
29,0,6,3,1,1927.13,3.38666,1930.52
30,0,6,4,1,1622.39,4.87785,1627.27
31,0,7,0,1,336.338,1.27368,337.612
32,0,7,1,1,792.354,1.93182,794.286
33,0,7,2,1,916.605,5.05099,921.656
34,0,7,3,1,26.4372,2.94581,29.383
35,0,7,4,1,847.272,1.33183,848.603
36,0,8,0,1,458.114,835.075,1293.19
37,0,8,1,1,749.073,2.16831,751.242
38,0,8,2,1,849.009,0.986272,849.995
39,0,8,3,1,1839.87,1.57452,1841.45
40,0,8,4,1,1579.33,2.33052,1581.66
41,0,9,0,1,1083.9,6.06396,1089.96
42,0,9,1,1,1162.13,2.21479,1164.34
43,0,9,2,1,1820.91,0.806773,1821.72
44,0,9,3,1,1054.86,3.01587,1057.88
45,0,9,4,1,749.181,3.89545,753.077
46,0,10,0,1,827.73,4.23172,831.962
47,0,10,1,1,1059.67,3.11462,1062.78
48,0,10,2,1,193.074,2.75068,195.825
49,0,10,3,1,2604.33,1.15625,2605.49
50,0,10,4,1,1915,1.28885,1916.28
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.38,0,1586.38
1,0,1,0,1,676.602,2.01195,678.614
2,0,1,1,1,1931.31,1.3076,1932.62
3,0,1,2,1,1790.57,7.40847,1797.98
4,0,1,3,1,1302.17,1.09955,1303.27
5,0,1,4,1,847.8,2.87037,850.67
6,0,2,0,1,724.543,143.315,867.858
7,0,2,1,1,627.108,2.46868,629.577
8,0,2,2,1,2167.92,0.669344,2168.58
9,0,2,3,1,130.854,2.00996,132.864
10,0,2,4,1,1527.32,1.95485,1529.28
11,0,3,0,1,1853.69,5.65796,1859.35
12,0,3,1,1,1090.5,1.01781,1091.52
13,0,3,2,1,1295.92,2.25036,1298.17
14,0,3,3,1,1342.51,2.14472,1344.66
15,0,3,4,1,2205.2,2.85634,2208.06
16,0,4,0,1,431.055,1.28537,432.341
17,0,4,1,1,737.807,1.16214,738.969
18,0,4,2,1,1868.71,2.55731,1871.27
19,0,4,3,1,863.165,5.14534,868.31
20,0,4,4,1,1565.28,1.40732,1566.69
21,0,5,0,1,1066.52,5.55383,1072.07
22,0,5,1,1,1726.97,2.02388,1728.99
23,0,5,2,1,256.148,1.20956,257.357
24,0,5,3,1,944.489,3.90308,948.392
25,0,5,4,1,1855.18,5.09919,1860.28
26,0,6,0,1,1863.99,1.44007,1865.43
27,0,6,1,1,1608.11,3.59945,1611.71
28,0,6,2,1,44.6007,0.976118,45.5768
29,0,6,3,1,1931.74,1.23245,1932.97
30,0,6,4,1,1627.05,1.024,1628.07
31,0,7,0,1,339.995,4.26718,344.262
32,0,7,1,1,789.826,2.33067,792.156
33,0,7,2,1,918.348,0.894668,919.243
34,0,7,3,1,25.3398,1.92753,27.2673
35,0,7,4,1,846.773,1.87089,848.644
36,0,8,0,1,458.565,829.678,1288.24
37,0,8,1,1,755.97,2.13424,758.104
38,0,8,2,1,843.948,3.9766,847.925
39,0,8,3,1,1838.3,2.07146,1840.37
40,0,8,4,1,1569.01,1.53518,1570.55
41,0,9,0,1,1076.68,2.30068,1078.98
42,0,9,1,1,1165.02,1.2101,1166.23
43,0,9,2,1,1822.1,0.942395,1823.04
44,0,9,3,1,1060.49,0.833804,1061.33
45,0,9,4,1,750.187,1.53029,751.718
46,0,10,0,1,832.448,4.59983,837.048
47,0,10,1,1,1055.68,3.09253,1058.78
48,0,10,2,1,189.573,1.72266,191.295
49,0,10,3,1,2604.5,3.04686,2607.54
50,0,10,4,1,1918.89,1.85699,1920.75
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.07,0,1586.07
1,0,1,0,1,670.268,8.03155,678.3
2,0,1,1,1,1933.73,1.78575,1935.52
3,0,1,2,1,1794.23,3.52938,1797.76
4,0,1,3,1,1304.58,3.13017,1307.71
5,0,1,4,1,848.113,3.0471,851.16
6,0,2,0,1,726.472,143.339,869.811
7,0,2,1,1,625.504,3.89916,629.403
8,0,2,2,1,2165.65,8.38793,2174.04
9,0,2,3,1,118.433,0.671248,119.104
10,0,2,4,1,1526.43,0.877961,1527.31
11,0,3,0,1,1854.01,2.09048,1856.1
12,0,3,1,1,1087.01,3.32614,1090.34
13,0,3,2,1,1294.32,0.838809,1295.16
14,0,3,3,1,1340.79,3.9326,1344.72
15,0,3,4,1,2208.23,1.30344,2209.53
16,0,4,0,1,425.729,1.38101,427.11
17,0,4,1,1,744.756,2.46043,747.217
18,0,4,2,1,1870.12,0.894611,1871.01
19,0,4,3,1,865.761,1.32138,867.082
20,0,4,4,1,1569.08,0.934061,1570.02
21,0,5,0,1,1068.12,3.17008,1071.29
22,0,5,1,1,1726.55,4.29337,1730.84
23,0,5,2,1,246.395,1.9607,248.356
24,0,5,3,1,946.882,2.00014,948.882
25,0,5,4,1,1858.53,2.97724,1861.51
26,0,6,0,1,1859.61,8.53127,1868.14
27,0,6,1,1,1605.06,4.2139,1609.28
28,0,6,2,1,44.1015,6.93699,51.0384
29,0,6,3,1,1927.61,2.80683,1930.42
30,0,6,4,1,1626.11,1.22551,1627.34
31,0,7,0,1,335.548,1.58284,337.13
32,0,7,1,1,787.948,4.93309,792.881
33,0,7,2,1,927.72,2.56985,930.29
34,0,7,3,1,29.7049,1.05746,30.7624
35,0,7,4,1,847.443,1.43344,848.876
36,0,8,0,1,470.632,831.953,1302.59
37,0,8,1,1,751.033,1.76012,752.793
38,0,8,2,1,849.493,2.48458,851.977
39,0,8,3,1,1838.14,4.30767,1842.44
40,0,8,4,1,1568.82,2.91963,1571.74
41,0,9,0,1,1074.2,5.52049,1079.72
42,0,9,1,1,1159.21,1.75921,1160.97
43,0,9,2,1,1817.69,2.69706,1820.39
44,0,9,3,1,1055.94,1.97852,1057.92
45,0,9,4,1,741.235,2.85664,744.091
46,0,10,0,1,828.762,2.02187,830.784
47,0,10,1,1,1063.65,1.83383,1065.48
48,0,10,2,1,190.376,1.17631,191.552
49,0,10,3,1,2601.66,2.82926,2604.49
50,0,10,4,1,1919.08,3.90033,1922.98
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.52,0,1586.52
1,0,1,0,1,680.296,1.25712,681.553
2,0,1,1,1,1932.85,1.12798,1933.98
3,0,1,2,1,1794.06,2.50659,1796.57
4,0,1,3,1,1304.8,1.00765,1305.81
5,0,1,4,1,843.948,1.32035,845.268
6,0,2,0,1,725.845,143.37,869.215
7,0,2,1,1,626.904,2.13609,629.04
8,0,2,2,1,2187.12,1.48009,2188.6
9,0,2,3,1,119.774,0.689144,120.463
10,0,2,4,1,1526.74,1.235,1527.98
11,0,3,0,1,1858.99,3.65403,1862.65
12,0,3,1,1,1088.13,1.32815,1089.46
13,0,3,2,1,1295.77,1.78178,1297.55
14,0,3,3,1,1338.43,5.86518,1344.3
15,0,3,4,1,2204.65,3.91445,2208.56
16,0,4,0,1,427.208,6.00237,433.211
17,0,4,1,1,737.82,2.80219,740.622
18,0,4,2,1,1869.95,3.07063,1873.02
19,0,4,3,1,858.421,3.00605,861.427
20,0,4,4,1,1564.54,2.50908,1567.05
21,0,5,0,1,1073.95,2.23566,1076.18
22,0,5,1,1,1737.22,2.36775,1739.59
23,0,5,2,1,255.168,0.607483,255.775
24,0,5,3,1,944.431,5.44516,949.876
25,0,5,4,1,1854.32,7.74769,1862.07
26,0,6,0,1,1865.64,2.21835,1867.86
27,0,6,1,1,1605.7,4.15069,1609.85
28,0,6,2,1,46.1852,1.59966,47.7849
29,0,6,3,1,1931.85,0.666302,1932.51
30,0,6,4,1,1625.84,1.95558,1627.79
31,0,7,0,1,334.266,7.37008,341.636
32,0,7,1,1,789.051,3.8219,792.873
33,0,7,2,1,923.062,2.99912,926.061
34,0,7,3,1,30.0422,3.70679,33.749
35,0,7,4,1,848.024,2.06007,850.084
36,0,8,0,1,465.009,829.503,1294.51
37,0,8,1,1,750.316,1.42339,751.74
38,0,8,2,1,849.349,1.05325,850.402
39,0,8,3,1,1839.75,2.24985,1842
40,0,8,4,1,1574.22,2.21772,1576.43
41,0,9,0,1,1074.72,2.83054,1077.55
42,0,9,1,1,1157.08,2.81158,1159.89
43,0,9,2,1,1817.44,3.58924,1821.03
44,0,9,3,1,1057.73,1.47272,1059.2
45,0,9,4,1,745.848,1.24518,747.094
46,0,10,0,1,835.587,11.8451,847.432
47,0,10,1,1,1055.67,3.05288,1058.72
48,0,10,2,1,186.896,1.61828,188.514
49,0,10,3,1,2603.25,1.67165,2604.92
50,0,10,4,1,1912.37,3.61209,1915.98
